"establishment.name","address","city","time.in.h","time.in.m","time.in.ampm","time.out.h","time.out.m","time.out.ampm","inspection.date","cfsm","purpose.of.inspection","risk.type","permit.number","current.score","current.grade","link"
"100% NATURAL/ MULTI JUICE INC","4166 BUFORD HIGHWAY STE. N4","ATLANTA",12,45,"PM",2,10,"PM",2016-01-04,"none/violation","Routine",1,"887766",95,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=548090&domainID=22"
"100% NATURAL/ MULTI JUICE INC","4166 BUFORD HIGHWAY STE. N4","ATLANTA",1,45,"PM",3,20,"PM",2015-09-08,"none*","Routine",1,"887766",87,"B","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=501233&domainID=22"
"100% NATURAL/ MULTI JUICE INC","4166 BUFORD HIGHWAY STE. N4","ATLANTA",1,15,"PM",2,50,"PM",2015-08-24,"90 Days from permitting date to Employ/Obtain CFSM","Follow-Up",1,"887766",73,"C","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=501217&domainID=22"
"100% NATURAL/ MULTI JUICE INC","4166 BUFORD HIGHWAY STE. N4","ATLANTA",3,30,"PM",5,0,"PM",2015-07-07,"60 Days to Obtain CFSM","Initial",1,"887766",100,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=501173&domainID=22"
"1001 CAFE","1001 SUMMIT BOULEVARD, SUITE P4-100","BROOKHAVEN",11,0,"AM",1,0,"PM",2015-10-14,"Dai Phil Lim","Initial",2,"887942",100,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=505223&domainID=22"
"1990 KABOB","4897 BUFORD HIGHWAY SUITE 123","CHAMBLEE",3,20,"PM",4,10,"PM",2015-10-07,"Juanjuan Wang exp 5/3/2020","Initial",2,"887719",97,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=501264&domainID=22"
"3 DOLLAR CAFE","4034 GLENWOOD ROAD","DECATUR",11,45,"AM",2,5,"PM",2015-06-22,"Quing Liang Li","Follow-Up",2,"886659",84,"B","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=489183&domainID=22"
"3 DOLLAR CAFE","4034 GLENWOOD ROAD","DECATUR",12,50,"PM",3,55,"PM",2015-06-09,"NO CFSM POSTED","Routine",2,"886659",67,"U","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=489177&domainID=22"
"3 DOLLAR CAFE","4034 GLENWOOD ROAD","DECATUR",2,5,"PM",4,5,"PM",2014-12-23,"Qing Liang Li","Follow-Up",2,"886659",93,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=462160&domainID=22"
"3 DOLLAR CAFE","4034 GLENWOOD ROAD","DECATUR",2,20,"PM",5,5,"PM",2014-12-01,"Quing Liang Li","Routine",2,"886659",74,"C","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=462139&domainID=22"
"3 DOLLAR CAFE","4034 GLENWOOD ROAD","DECATUR",1,55,"PM",4,45,"PM",2014-06-10,"Quing Liang Li","Follow-Up",2,"886659",81,"B","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=374714&domainID=22"
"3 DOLLAR CAFE","4034 GLENWOOD ROAD","DECATUR",2,15,"PM",5,50,"PM",2014-06-04,"Quing Liang Li","Routine",2,"886659",43,"U","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=374710&domainID=22"
"3 DOLLAR CAFE","4034 GLENWOOD ROAD","DECATUR",11,5,"AM",2,10,"PM",2014-04-08,"90 Day deadline","Initial",2,"886659",96,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=374655&domainID=22"
"3 DOLLAR CAFE","4034 GLENWOOD ROAD","DECATUR",11,5,"AM",2,10,"PM",2014-04-08,"90 day deadline","Construction/Preoperational",2,"886659",NA,"NA","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=374656&domainID=22"
"5 BUCKS CAFE","3853 LAWRENCEVILLE HIGHWAY, SUITE A","TUCKER",2,25,"PM",3,25,"PM",2015-05-28,"Shu Ying Yu","Follow-Up",3,"885918",92,"A","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=497139&domainID=22"
"5 BUCKS CAFE","3853 LAWRENCEVILLE HIGHWAY, SUITE A","TUCKER",2,50,"PM",4,0,"PM",2015-04-13,"Shu Ying Yu (ex. 3/21/19)","Routine",3,"885918",78,"C","http://atlanta.digitalhealthdepartment.com/_templates/22/Food/_report_full.cfm?fsimID=497104&domainID=22"
